Cargo / Oficina,Nombre
Decano,Dr. Charles Ignacio Mendoza Mollocondo
Director de Escuela,Dr. Godofredo Quispe Romari
Director de Departamento Académico,Dr. Juan Reynaldo Paredes Quispe
Secretario Técnico,M.Sc. Leonid Aleman Gonzales
Director de la Unidad de Posgrado,Dr. Vladimiro Ibañez Quispe
Director de la Unidad de Investigación,Dr. Bernabé Condori Flores
Coordinador de Tutoría,Dr. Renzo Apaza Cutipa
Coordinador de Convenios,Dr. Milton Antonio Lopez Cuera
Presidente de Comité de Calidad y Acreditación,Dr. Angel Javier Quispe Carita
Coordinador de Laboratorio y Gabinete,Dr. Edgar Elby Carpio Vargas
Coordinador de Seguimiento al Egresado,Dr. José Porfilo Tito Lipa
Coordinador de Responsabilidad Social,M.Sc. Elqui Yeye Pari Condori
Responsable de Infraestructura,Dr. Leonel Coyla Jaime
Responsable de Página Web del Programa,Dr. Juan Carlos Juarez Vargas
Responsable de Políticas Ambientales,M.Sc. Alcides Ramos Calcina
Coordinador de Biblioteca Especializada,M.Sc. Leonid Aleman Gonzales
Coordinador de Prácticas Pre-profesionales,Dr. Juan Reynaldo Paredes Quispe
